location,total_cases,total_deaths,population,cases_per_million,deaths_per_million,case_fatality_rate,peak_date,peak_7day_cases,peak_cases_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred
Afghanistan,226816.0,7952.0,41128772.0,5514.776857427205,193.34396854834372,3.505925507900677,2021-06-23,2095.5714285714284,50.95147087229905,,,
Albania,334090.0,3604.0,2842318.0,117541.3869946994,1267.9791634855776,1.0787512346972374,2022-01-24,2210.285714285714,777.6349142797231,,,
Algeria,271945.0,6881.0,44903228.0,6056.246112194874,153.24065343364623,2.530291051499384,2022-01-29,2177.5714285714284,48.49476364085514,,,
American Samoa,8359.0,34.0,44295.0,188712.04424878655,767.5809910825149,0.40674721856681423,2022-03-25,307.7142857142857,6946.930482318224,,,
Andorra,48015.0,159.0,79843.0,601367.6840800069,1991.4081384717506,0.331146516713527,2022-01-26,588.5714285714286,7371.609641063444,,,
Angola,105972.0,1936.0,35588996.0,2977.6619716948467,54.39883721361513,1.8268976710829277,2022-01-08,1712.5714285714287,48.120813202244555,22.97,11.73,34.0
Anguilla,3904.0,12.0,15877.0,245890.28153933364,755.8102916168042,0.3073770491803279,2022-01-17,47.42857142857143,2987.25020019975,,,
Antigua and Barbuda,9106.0,146.0,93772.0,97107.87868446871,1556.967964850915,1.6033384581594552,2022-01-29,101.28571428571429,1080.1274824650675,,,
Argentina,10054576.0,130472.0,45510324.0,220929.56314703453,2866.865988473297,1.2976380107923,2022-01-14,111509.85714285714,2450.210135679481,87.18,70.05,184.52
Armenia,450334.0,8762.0,2780472.0,161963.14870281017,3151.263526480396,1.9456669938312452,2022-02-07,3399.0,1222.4543171087498,,,
Aruba,44224.0,292.0,106459.0,415408.74890803033,2742.8399665598963,0.66027496382055,2022-01-11,845.8571428571429,7945.379374755942,79.94,74.43,154.38
Australia,11618144.0,23188.0,26177410.0,443823.28121842456,885.8019185244071,0.1995843742339568,2022-01-09,84116.14285714286,3213.3103640559875,78.43,76.04,168.41
Austria,6081287.0,22534.0,8939617.0,680262.5884308019,2520.6896447577114,0.37054656358103144,2022-03-19,45796.28571428572,5122.846506095923,,,
Azerbaijan,833550.0,10337.0,10358078.0,80473.42373749262,997.9650664920655,1.2401175694319477,2022-02-11,7050.142857142857,680.6419933449871,50.8,45.96,119.62
Bahamas,38084.0,844.0,409989.0,92890.2970567503,2058.591815877987,2.2161537653607817,2022-01-11,496.85714285714283,1211.8792037277656,,,
Bahrain,696614.0,1536.0,1472237.0,473167.02405930567,1043.3102822439594,0.22049513790994724,2022-02-08,7649.714285714285,5195.980189136861,83.35,81.32,229.15
Bangladesh,2045843.0,29477.0,171186368.0,11950.969133243132,172.1924493426953,1.4408241492626757,2021-08-03,14477.285714285714,84.57031879013704,5.68,2.56,8.24
Barbados,110074.0,620.0,281646.0,390823.9421117289,2201.344950753783,0.5632574449915512,2022-01-27,709.8571428571429,2520.387801911417,56.26,52.16,108.42
Belarus,994037.0,7118.0,9534956.0,104251.87069557532,746.5162922618625,0.7160699249625517,2022-02-15,7901.571428571428,828.6951118150339,,,
Belgium,4817196.0,34339.0,11655923.0,413283.1007891867,2946.0558378774467,0.7128420765939355,2022-01-27,52466.857142857145,4501.304370563974,78.45,76.18,206.75
Belize,71060.0,688.0,405285.0,175333.40735531785,1697.5708452076933,0.96819589079651,2022-01-26,754.2857142857143,1861.1241824536173,,,
Benin,28036.0,163.0,13352864.0,2099.6244700762322,12.207119012071118,0.5813953488372093,2021-09-06,944.8571428571429,70.76063553535353,,,
Bermuda,18860.0,165.0,64207.0,293737.4429579329,2569.813260236423,0.8748674443266171,2022-01-12,208.57142857142858,3248.4219566624915,,,
Bhutan,62697.0,21.0,782457.0,80128.36488139284,26.83853553613809,0.03349442557060146,2022-04-14,1716.7142857142858,2194.00463631137,,,
Bolivia,1209081.0,22404.0,12224114.0,98909.49969871026,1832.770865847619,1.8529775920719953,2022-01-22,11969.714285714286,979.1886991330648,54.03,41.36,93.91
Bonaire Sint Eustatius and Saba,11922.0,41.0,27052.0,440706.7869288777,1515.599585982552,0.3439020298607616,2022-01-16,148.71428571428572,5497.349020933229,,,
Bosnia and Herzegovina,403203.0,16357.0,3233530.0,124694.37425970998,5058.55829387697,4.056765450653889,2022-01-23,2464.285714285714,762.1038661418679,,,
Botswana,330298.0,2800.0,2630300.0,125574.26909478006,1064.5173554347414,0.8477193322393717,2022-02-24,6052.714285714285,2301.149787368089,,,
Brazil,37721749.0,704659.0,215313504.0,175194.53401306403,3272.7115898870884,1.868044347572537,2022-02-05,189526.0,880.2327605053513,79.93,70.02,171.18
British Virgin Islands,7305.0,64.0,31332.0,233148.21907315205,2042.640112345206,0.8761122518822724,2022-01-11,181.71428571428572,5799.638890408711,,,
Brunei,311905.0,163.0,449002.0,694662.8300096659,363.0273361811306,0.052259502091983136,2022-03-07,4213.142857142857,9383.34986735662,,,
Bulgaria,1302188.0,38414.0,6781955.0,192007.76177370685,5664.148464565159,2.9499580705704553,2022-01-30,8833.0,1302.4268076093103,,29.39,61.3
Burkina Faso,22056.0,396.0,22673764.0,972.7542370115523,17.465119598139946,1.7954298150163224,2022-01-09,286.2857142857143,12.626298583936672,,,
