location,peak_date,peak_7day_cases,peak_cases_per_million
Afghanistan,2021-06-23,2095.5714285714284,50.951
Albania,2022-01-24,2210.285714285714,777.635
Algeria,2022-01-29,2177.5714285714284,48.495
American Samoa,2022-03-25,307.7142857142857,6946.93
Andorra,2022-01-26,588.5714285714286,7371.61
Angola,2022-01-08,1712.5714285714287,48.121
Anguilla,2022-01-17,47.42857142857143,2987.25
Antigua and Barbuda,2022-01-29,101.28571428571429,1080.127
Argentina,2022-01-14,111509.85714285714,2450.21
Armenia,2022-02-07,3399.0,1222.454
Aruba,2022-01-11,845.8571428571429,7945.379
Australia,2022-01-09,84116.14285714286,3213.31
Austria,2022-03-19,45796.28571428572,5122.847
Azerbaijan,2022-02-11,7050.142857142857,680.642
Bahamas,2022-01-11,496.85714285714283,1211.879
Bahrain,2022-02-08,7649.714285714285,5195.98
Bangladesh,2021-08-03,14477.285714285714,84.57
Barbados,2022-01-27,709.8571428571429,2520.388
Belarus,2022-02-15,7901.571428571428,828.695
Belgium,2022-01-27,52466.857142857145,4501.304
Belize,2022-01-26,754.2857142857143,1861.124
Benin,2021-09-06,944.8571428571429,70.761
Bermuda,2022-01-12,208.57142857142858,3248.422
Bhutan,2022-04-14,1716.7142857142858,2194.005
Bolivia,2022-01-22,11969.714285714286,979.189
Bonaire Sint Eustatius and Saba,2022-01-16,148.71428571428572,5497.349
Bosnia and Herzegovina,2022-01-23,2464.285714285714,762.104
Botswana,2022-02-24,6052.714285714285,2301.15
Brazil,2022-02-05,189526.0,880.233
British Virgin Islands,2022-01-11,181.71428571428572,5799.639
Brunei,2022-03-07,4213.142857142857,9383.35
Bulgaria,2022-01-30,8833.0,1302.427
Burkina Faso,2022-01-09,286.2857142857143,12.626
Burundi,2021-12-30,791.4285714285714,61.401
Cambodia,2021-07-06,981.0,58.505
Cameroon,2021-03-18,1240.142857142857,44.426
Canada,2022-01-08,42191.28571428572,1097.179
Cape Verde,2022-01-10,1062.7142857142858,1791.609
Cayman Islands,2022-02-18,399.14285714285717,5808.08
