location,total_cases,total_deaths,population,cases_per_million,deaths_per_million,case_fatality_rate
Afghanistan,226816.0,7952.0,41128772.0,5514.776857427205,193.34396854834372,3.505925507900677
Albania,334090.0,3604.0,2842318.0,117541.3869946994,1267.9791634855776,1.0787512346972374
Algeria,271945.0,6881.0,44903228.0,6056.246112194874,153.24065343364623,2.530291051499384
American Samoa,8359.0,34.0,44295.0,188712.04424878655,767.5809910825149,0.40674721856681423
Andorra,48015.0,159.0,79843.0,601367.6840800069,1991.4081384717506,0.331146516713527
Angola,105972.0,1936.0,35588996.0,2977.6619716948467,54.39883721361513,1.8268976710829277
Anguilla,3904.0,12.0,15877.0,245890.28153933364,755.8102916168042,0.3073770491803279
Antigua and Barbuda,9106.0,146.0,93772.0,97107.87868446871,1556.967964850915,1.6033384581594552
Argentina,10054576.0,130472.0,45510324.0,220929.56314703453,2866.865988473297,1.2976380107923
Armenia,450334.0,8762.0,2780472.0,161963.14870281017,3151.263526480396,1.9456669938312452
Aruba,44224.0,292.0,106459.0,415408.74890803033,2742.8399665598963,0.66027496382055
Australia,11618144.0,23188.0,26177410.0,443823.28121842456,885.8019185244071,0.1995843742339568
Austria,6081287.0,22534.0,8939617.0,680262.5884308019,2520.6896447577114,0.37054656358103144
Azerbaijan,833550.0,10337.0,10358078.0,80473.42373749262,997.9650664920655,1.2401175694319477
Bahamas,38084.0,844.0,409989.0,92890.2970567503,2058.591815877987,2.2161537653607817
Bahrain,696614.0,1536.0,1472237.0,473167.02405930567,1043.3102822439594,0.22049513790994724
Bangladesh,2045843.0,29477.0,171186368.0,11950.969133243132,172.1924493426953,1.4408241492626757
Barbados,110074.0,620.0,281646.0,390823.9421117289,2201.344950753783,0.5632574449915512
Belarus,994037.0,7118.0,9534956.0,104251.87069557532,746.5162922618625,0.7160699249625517
Belgium,4817196.0,34339.0,11655923.0,413283.1007891867,2946.0558378774467,0.7128420765939355
Belize,71060.0,688.0,405285.0,175333.40735531785,1697.5708452076933,0.96819589079651
Benin,28036.0,163.0,13352864.0,2099.6244700762322,12.207119012071118,0.5813953488372093
Bermuda,18860.0,165.0,64207.0,293737.4429579329,2569.813260236423,0.8748674443266171
Bhutan,62697.0,21.0,782457.0,80128.36488139284,26.83853553613809,0.03349442557060146
Bolivia,1209081.0,22404.0,12224114.0,98909.49969871026,1832.770865847619,1.8529775920719953
Bonaire Sint Eustatius and Saba,11922.0,41.0,27052.0,440706.7869288777,1515.599585982552,0.3439020298607616
Bosnia and Herzegovina,403203.0,16357.0,3233530.0,124694.37425970998,5058.55829387697,4.056765450653889
Botswana,330298.0,2800.0,2630300.0,125574.26909478006,1064.5173554347414,0.8477193322393717
Brazil,37721749.0,704659.0,215313504.0,175194.53401306403,3272.7115898870884,1.868044347572537
British Virgin Islands,7305.0,64.0,31332.0,233148.21907315205,2042.640112345206,0.8761122518822724
Brunei,311905.0,163.0,449002.0,694662.8300096659,363.0273361811306,0.052259502091983136
Bulgaria,1302188.0,38414.0,6781955.0,192007.76177370685,5664.148464565159,2.9499580705704553
