location,date,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred
Brazil,2020-01-03,,,
Brazil,2020-01-04,,,
Brazil,2020-01-05,,,
Brazil,2020-01-06,,,
Brazil,2020-01-07,,,
Brazil,2020-01-08,,,
Brazil,2020-01-09,,,
Brazil,2020-01-10,,,
Brazil,2020-01-11,,,
Brazil,2020-01-12,,,
Brazil,2020-01-13,,,
Brazil,2020-01-14,,,
Brazil,2020-01-15,,,
Brazil,2020-01-16,,,
Brazil,2020-01-17,,,
Brazil,2020-01-18,,,
Brazil,2020-01-19,,,
Brazil,2020-01-20,,,
Brazil,2020-01-21,,,
Brazil,2020-01-22,,,
Brazil,2020-01-23,,,
Brazil,2020-01-24,,,
Brazil,2020-01-25,,,
Brazil,2020-01-26,,,
Brazil,2020-01-27,,,
Brazil,2020-01-28,,,
Brazil,2020-01-29,,,
Brazil,2020-01-30,,,
Brazil,2020-01-31,,,
Brazil,2020-02-01,,,
Brazil,2020-02-02,,,
Brazil,2020-02-03,,,
Brazil,2020-02-04,,,
Brazil,2020-02-05,,,
Brazil,2020-02-06,,,
Brazil,2020-02-07,,,
Brazil,2020-02-08,,,
Brazil,2020-02-09,,,
Brazil,2020-02-10,,,
Brazil,2020-02-11,,,
Brazil,2020-02-12,,,
Brazil,2020-02-13,,,
Brazil,2020-02-14,,,
Brazil,2020-02-15,,,
Brazil,2020-02-16,,,
Brazil,2020-02-17,,,
Brazil,2020-02-18,,,
Brazil,2020-02-19,,,
Brazil,2020-02-20,,,
Brazil,2020-02-21,,,
Brazil,2020-02-22,,,
Brazil,2020-02-23,,,
Brazil,2020-02-24,,,
Brazil,2020-02-25,,,
Brazil,2020-02-26,,,
Brazil,2020-02-27,,,
Brazil,2020-02-28,,,
Brazil,2020-02-29,,,
Brazil,2020-03-01,,,
Brazil,2020-03-02,,,
Brazil,2020-03-03,,,
Brazil,2020-03-04,,,
Brazil,2020-03-05,,,
Brazil,2020-03-06,,,
Brazil,2020-03-07,,,
Brazil,2020-03-08,,,
Brazil,2020-03-09,,,
Brazil,2020-03-10,,,
Brazil,2020-03-11,,,
Brazil,2020-03-12,,,
Brazil,2020-03-13,,,
Brazil,2020-03-14,,,
Brazil,2020-03-15,,,
Brazil,2020-03-16,,,
Brazil,2020-03-17,,,
Brazil,2020-03-18,,,
Brazil,2020-03-19,,,
Brazil,2020-03-20,,,
Brazil,2020-03-21,,,
Brazil,2020-03-22,,,
Brazil,2020-03-23,,,
Brazil,2020-03-24,,,
Brazil,2020-03-25,,,
Brazil,2020-03-26,,,
Brazil,2020-03-27,,,
Brazil,2020-03-28,,,
Brazil,2020-03-29,,,
Brazil,2020-03-30,,,
Brazil,2020-03-31,,,
Brazil,2020-04-01,,,
Brazil,2020-04-02,,,
Brazil,2020-04-03,,,
Brazil,2020-04-04,,,
Brazil,2020-04-05,,,
Brazil,2020-04-06,,,
Brazil,2020-04-07,,,
Brazil,2020-04-08,,,
Brazil,2020-04-09,,,
Brazil,2020-04-10,,,
Brazil,2020-04-11,,,
Brazil,2020-04-12,,,
Brazil,2020-04-13,,,
Brazil,2020-04-14,,,
Brazil,2020-04-15,,,
Brazil,2020-04-16,,,
Brazil,2020-04-17,,,
Brazil,2020-04-18,,,
Brazil,2020-04-19,,,
Brazil,2020-04-20,,,
Brazil,2020-04-21,,,
Brazil,2020-04-22,,,
Brazil,2020-04-23,,,
Brazil,2020-04-24,,,
Brazil,2020-04-25,,,
Brazil,2020-04-26,,,
Brazil,2020-04-27,,,
Brazil,2020-04-28,,,
Brazil,2020-04-29,,,
Brazil,2020-04-30,,,
Brazil,2020-05-01,,,
Brazil,2020-05-02,,,
Brazil,2020-05-03,,,
Brazil,2020-05-04,,,
Brazil,2020-05-05,,,
Brazil,2020-05-06,,,
Brazil,2020-05-07,,,
Brazil,2020-05-08,,,
